Date,Close,Ticker
Oct-09-2018,1621.87,Russell 2000
Oct-10-2018,1575.41,Russell 2000
Oct-11-2018,1545.38,Russell 2000
Oct-12-2018,1546.68,Russell 2000
Oct-15-2018,1553.1,Russell 2000
Oct-16-2018,1596.84,Russell 2000
Oct-17-2018,1589.6,Russell 2000
Oct-18-2018,1560.75,Russell 2000
Oct-19-2018,1542.04,Russell 2000
Oct-22-2018,1539.5,Russell 2000
Oct-23-2018,1526.59,Russell 2000
Oct-24-2018,1468.7,Russell 2000
Oct-25-2018,1500.4,Russell 2000
Oct-26-2018,1483.82,Russell 2000
Oct-29-2018,1477.31,Russell 2000
Oct-30-2018,1506.64,Russell 2000
Oct-31-2018,1511.41,Russell 2000
Nov-01-2018,1544.98,Russell 2000
Nov-02-2018,1547.98,Russell 2000
Nov-05-2018,1547.51,Russell 2000
Nov-06-2018,1556.1,Russell 2000
Nov-07-2018,1582.16,Russell 2000
Nov-08-2018,1578.21,Russell 2000
Nov-09-2018,1549.49,Russell 2000
Nov-12-2018,1518.79,Russell 2000
Nov-13-2018,1514.8,Russell 2000
Nov-14-2018,1502.51,Russell 2000
Nov-15-2018,1524.12,Russell 2000
Nov-16-2018,1527.53,Russell 2000
Nov-19-2018,1496.54,Russell 2000
Nov-20-2018,1469.01,Russell 2000
Nov-21-2018,1488.28,Russell 2000
Nov-23-2018,1488.68,Russell 2000
Nov-26-2018,1505.96,Russell 2000
Nov-27-2018,1492.86,Russell 2000
Nov-28-2018,1530.38,Russell 2000
Nov-29-2018,1525.39,Russell 2000
Nov-30-2018,1533.27,Russell 2000
Dec-03-2018,1548.96,Russell 2000
Dec-04-2018,1480.75,Russell 2000
Dec-06-2018,1477.41,Russell 2000
Dec-07-2018,1448.09,Russell 2000
Dec-10-2018,1443.1,Russell 2000
Dec-11-2018,1440.13,Russell 2000
Dec-12-2018,1455.32,Russell 2000
Dec-13-2018,1432.7,Russell 2000
Dec-14-2018,1410.81,Russell 2000
Dec-17-2018,1378.14,Russell 2000
Dec-18-2018,1377.18,Russell 2000
Dec-19-2018,1349.23,Russell 2000
Dec-20-2018,1326,Russell 2000
Dec-21-2018,1292.09,Russell 2000
Dec-24-2018,1266.93,Russell 2000
Dec-26-2018,1329.81,Russell 2000
Dec-27-2018,1331.82,Russell 2000
Dec-28-2018,1337.92,Russell 2000
Dec-31-2018,1348.56,Russell 2000
Jan-02-2019,1355.91,Russell 2000
Jan-03-2019,1330.83,Russell 2000
Jan-04-2019,1380.75,Russell 2000
